[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741097.040887023] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741097.169196577] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741097.288851442] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741097.420796196] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741097.553432679] [buoy_detector]: Detected 17 buoy(s)
[buoy_detector-3] [INFO] [1771741097.681465542] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741097.809366716] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741097.906480856] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741098.052644884] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741098.196240601] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741098.313703821] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741098.436559581] [buoy_detector]: Detected 17 buoy(s)
[buoy_detector-3] [INFO] [1771741098.545552860] [buoy_detector]: Detected 16 buoy(s)
[buoy_detector-3] [INFO] [1771741098.662097839] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741098.777186556] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741098.896683295] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741099.027576741] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741099.117514788] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741099.249133915] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741099.371043943] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741099.493143039] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741099.618132580] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741099.721707747] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741099.848646161] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741099.942161612] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741100.068407080] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741100.189593438] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741100.323374347] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741100.445674000] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741100.573928184] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741100.705286139] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741100.856622524] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741100.951449202] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741101.069960267] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741101.208090728] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741101.317342196] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741101.462887996] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741101.563394656] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741101.695184031] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741101.783418019] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741101.926634758] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741102.052428542] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741102.168077451] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741102.298969288] [buoy_detector]: Detected 11 buoy(s)
